trait	module	gene_id	gene_symbol	module_membership_kME	gene_significance	module_trait_cor	module_trait_pval
ER_status	turquoise	ENSG00000129514.5	FOXA1	-0.905437103880613	0.700997792457749	-0.779021175009806	7.98621774818896e-224
ER_status	turquoise	ENSG00000115648.13	MLPH	-0.901041076039606	0.707516689025962	-0.779021175009806	7.98621774818896e-224
ER_status	turquoise	ENSG00000109436.7	TBC1D9	-0.874932347126015	0.709104843809135	-0.779021175009806	7.98621774818896e-224
ER_status	turquoise	ENSG00000091831.22	ESR1	-0.872323758758765	0.797048125502413	-0.779021175009806	7.98621774818896e-224
ER_status	turquoise	ENSG00000100219.16	XBP1	-0.864240068869179	0.670543480203	-0.779021175009806	7.98621774818896e-224
ER_status	turquoise	ENSG00000107485.15	GATA3	-0.861130376145533	0.741013828616721	-0.779021175009806	7.98621774818896e-224
ER_status	turquoise	ENSG00000135069.13	PSAT1	0.847821290090972	-0.689794742572092	-0.779021175009806	7.98621774818896e-224
ER_status	turquoise	ENSG00000187720.14	THSD4	-0.846556272002597	0.693846225397316	-0.779021175009806	7.98621774818896e-224
ER_status	turquoise	ENSG00000053524.12	MCF2L2	0.835109517996655	-0.686149220558586	-0.779021175009806	7.98621774818896e-224
ER_status	turquoise	ENSG00000074410.13	CA12	-0.834602574442038	0.728693429463907	-0.779021175009806	7.98621774818896e-224
PR_status	turquoise	ENSG00000129514.5	FOXA1	-0.905437103880613	0.576724379995051	-0.667561399483776	3.47195735430354e-142
PR_status	turquoise	ENSG00000115648.13	MLPH	-0.901041076039606	0.565710123474665	-0.667561399483776	3.47195735430354e-142
PR_status	turquoise	ENSG00000109436.7	TBC1D9	-0.874932347126015	0.583245894143574	-0.667561399483776	3.47195735430354e-142
PR_status	turquoise	ENSG00000091831.22	ESR1	-0.872323758758765	0.663024386241128	-0.667561399483776	3.47195735430354e-142
PR_status	turquoise	ENSG00000100219.16	XBP1	-0.864240068869179	0.557065933590031	-0.667561399483776	3.47195735430354e-142
PR_status	turquoise	ENSG00000107485.15	GATA3	-0.861130376145533	0.60055908245727	-0.667561399483776	3.47195735430354e-142
PR_status	turquoise	ENSG00000135069.13	PSAT1	0.847821290090972	-0.599368453984272	-0.667561399483776	3.47195735430354e-142
PR_status	turquoise	ENSG00000187720.14	THSD4	-0.846556272002597	0.605266527618865	-0.667561399483776	3.47195735430354e-142
PR_status	turquoise	ENSG00000053524.12	MCF2L2	0.835109517996655	-0.556440458544241	-0.667561399483776	3.47195735430354e-142
PR_status	turquoise	ENSG00000074410.13	CA12	-0.834602574442038	0.638637048663659	-0.667561399483776	3.47195735430354e-142
HER2_status	greenyellow	ENSG00000108309.13	RUNDC3A	0.915408768414195	-0.149008758193854	-0.136337472145366	5.96807655364963e-06
HER2_status	greenyellow	ENSG00000145920.14	CPLX2	0.88061903205339	-0.0810539769494201	-0.136337472145366	5.96807655364963e-06
HER2_status	greenyellow	ENSG00000102003.10	SYP	0.858402318305729	-0.0863508744357958	-0.136337472145366	5.96807655364963e-06
HER2_status	greenyellow	ENSG00000260903.2	XKR7	0.85392800150229	-0.097900804610306	-0.136337472145366	5.96807655364963e-06
HER2_status	greenyellow	ENSG00000130477.15	UNC13A	0.842598801819502	-0.0990325806013273	-0.136337472145366	5.96807655364963e-06
HER2_status	greenyellow	ENSG00000132639.12	SNAP25	0.840399275010562	-0.145340672130562	-0.136337472145366	5.96807655364963e-06
HER2_status	greenyellow	ENSG00000063015.19	SEZ6	0.816135783235123	-0.100049815196955	-0.136337472145366	5.96807655364963e-06
HER2_status	greenyellow	ENSG00000160716.5	CHRNB2	0.807467553814271	-0.15316054168439	-0.136337472145366	5.96807655364963e-06
HER2_status	greenyellow	ENSG00000132872.11	SYT4	0.805110116989507	-0.0896122560285352	-0.136337472145366	5.96807655364963e-06
stage_Stage I	black	ENSG00000154721.14	JAM2	0.897522022743916	0.0546343422200264	0.0961761472651021	0.00144106119377378
stage_Stage I	black	ENSG00000183722.7	LHFP	0.896399940492539	0.0660966151350595	0.0961761472651021	0.00144106119377378
stage_Stage I	black	ENSG00000170989.8	S1PR1	0.889922858403233	0.088820992246112	0.0961761472651021	0.00144106119377378
stage_Stage I	black	ENSG00000141338.13	ABCA8	0.87071272369272	0.0891327079459676	0.0961761472651021	0.00144106119377378
stage_Stage I	black	ENSG00000046889.18	PREX2	0.869225714891039	0.104893137214164	0.0961761472651021	0.00144106119377378
stage_Stage I	black	ENSG00000017427.15	IGF1	0.86799581165817	0.114886150437873	0.0961761472651021	0.00144106119377378
stage_Stage I	black	ENSG00000164035.9	EMCN	0.866418027640056	0.0823979003699786	0.0961761472651021	0.00144106119377378
stage_Stage I	black	ENSG00000168497.4	SDPR	0.865286999676669	0.0657690554294903	0.0961761472651021	0.00144106119377378
stage_Stage I	black	ENSG00000120156.20	TEK	0.861397353547165	0.095624973203539	0.0961761472651021	0.00144106119377378
stage_Stage I	black	ENSG00000187955.11	COL14A1	0.859948728535212	0.0622956285652183	0.0961761472651021	0.00144106119377378
stage_Stage IIA	black	ENSG00000154721.14	JAM2	0.897522022743916	-0.148032208301183	-0.144519926507594	1.57052675656164e-06
stage_Stage IIA	black	ENSG00000183722.7	LHFP	0.896399940492539	-0.166661538120802	-0.144519926507594	1.57052675656164e-06
stage_Stage IIA	black	ENSG00000170989.8	S1PR1	0.889922858403233	-0.121705370848568	-0.144519926507594	1.57052675656164e-06
stage_Stage IIA	black	ENSG00000141338.13	ABCA8	0.87071272369272	-0.128072639488461	-0.144519926507594	1.57052675656164e-06
stage_Stage IIA	black	ENSG00000046889.18	PREX2	0.869225714891039	-0.130092271967446	-0.144519926507594	1.57052675656164e-06
stage_Stage IIA	black	ENSG00000017427.15	IGF1	0.86799581165817	-0.126205280480127	-0.144519926507594	1.57052675656164e-06
stage_Stage IIA	black	ENSG00000164035.9	EMCN	0.866418027640056	-0.141181894921392	-0.144519926507594	1.57052675656164e-06
stage_Stage IIA	black	ENSG00000168497.4	SDPR	0.865286999676669	-0.151755355788395	-0.144519926507594	1.57052675656164e-06
stage_Stage IIA	black	ENSG00000120156.20	TEK	0.861397353547165	-0.125494610792151	-0.144519926507594	1.57052675656164e-06
stage_Stage IIA	black	ENSG00000187955.11	COL14A1	0.859948728535212	-0.148570379638014	-0.144519926507594	1.57052675656164e-06
stage_Stage IIIB	greenyellow	ENSG00000108309.13	RUNDC3A	0.915408768414195	0.0765485046282032	0.0819631323247722	0.00665377005135759
stage_Stage IIIB	greenyellow	ENSG00000145920.14	CPLX2	0.88061903205339	0.0863433194906991	0.0819631323247722	0.00665377005135759
stage_Stage IIIB	greenyellow	ENSG00000102003.10	SYP	0.858402318305729	0.0874393727210262	0.0819631323247722	0.00665377005135759
stage_Stage IIIB	greenyellow	ENSG00000260903.2	XKR7	0.85392800150229	0.0651000991882996	0.0819631323247722	0.00665377005135759
stage_Stage IIIB	greenyellow	ENSG00000130477.15	UNC13A	0.842598801819502	0.0741222411503603	0.0819631323247722	0.00665377005135759
stage_Stage IIIB	greenyellow	ENSG00000132639.12	SNAP25	0.840399275010562	0.0895774624521008	0.0819631323247722	0.00665377005135759
stage_Stage IIIB	greenyellow	ENSG00000063015.19	SEZ6	0.816135783235123	0.0853111766448148	0.0819631323247722	0.00665377005135759
stage_Stage IIIB	greenyellow	ENSG00000160716.5	CHRNB2	0.807467553814271	0.0397029964727722	0.0819631323247722	0.00665377005135759
stage_Stage IIIB	greenyellow	ENSG00000132872.11	SYT4	0.805110116989507	0.0563299509551918	0.0819631323247722	0.00665377005135759
stage_Stage IIIC	purple	ENSG00000187288.10	CIDEC	0.957179328735106	0.11023499002283	0.125425470395402	3.15288676760632e-05
stage_Stage IIIC	purple	ENSG00000165269.12	AQP7	0.950847664111839	0.149987766549975	0.125425470395402	3.15288676760632e-05
stage_Stage IIIC	purple	ENSG00000167588.12	GPD1	0.941308938334772	0.111281110534519	0.125425470395402	3.15288676760632e-05
stage_Stage IIIC	purple	ENSG00000184811.3	TUSC5	0.940567458254983	0.113295463922247	0.125425470395402	3.15288676760632e-05
stage_Stage IIIC	purple	ENSG00000166819.11	PLIN1	0.933280993504725	0.112561597525196	0.125425470395402	3.15288676760632e-05
stage_Stage IIIC	purple	ENSG00000120049.18	KCNIP2	0.919744581013528	0.129960896802145	0.125425470395402	3.15288676760632e-05
stage_Stage IIIC	purple	ENSG00000176194.17	CIDEA	0.917539174112841	0.125209776098171	0.125425470395402	3.15288676760632e-05
stage_Stage IIIC	purple	ENSG00000170323.8	FABP4	0.910894898996656	0.0925852296113494	0.125425470395402	3.15288676760632e-05
stage_Stage IIIC	purple	ENSG00000196616.13	ADH1B	0.910020988800512	0.0952121583914365	0.125425470395402	3.15288676760632e-05
stage_Stage IIIC	purple	ENSG00000167676.4	PLIN4	0.902439601140738	0.101319829226682	0.125425470395402	3.15288676760632e-05
stage_Stage X	brown	ENSG00000167208.14	SNX20	0.954862957735618	-0.0602338862548469	-0.073798629325261	0.0145820260293734
stage_Stage X	brown	ENSG00000122122.9	SASH3	0.951639381372912	-0.0632734033578905	-0.073798629325261	0.0145820260293734
stage_Stage X	brown	ENSG00000143851.15	PTPN7	0.94577955076057	-0.0591363376540243	-0.073798629325261	0.0145820260293734
stage_Stage X	brown	ENSG00000143119.12	CD53	0.94227012693601	-0.0598566423892474	-0.073798629325261	0.0145820260293734
stage_Stage X	brown	ENSG00000147168.12	IL2RG	0.934399784221681	-0.0551455447181717	-0.073798629325261	0.0145820260293734
stage_Stage X	brown	ENSG00000110324.10	IL10RA	0.928356065213873	-0.064114245906289	-0.073798629325261	0.0145820260293734
stage_Stage X	brown	ENSG00000028137.18	TNFRSF1B	0.927357116837882	-0.0597411987733947	-0.073798629325261	0.0145820260293734
stage_Stage X	brown	ENSG00000117091.9	CD48	0.925477799013114	-0.0555718899634	-0.073798629325261	0.0145820260293734
stage_Stage X	brown	ENSG00000163219.11	ARHGAP25	0.925053165343959	-0.0697970488068771	-0.073798629325261	0.0145820260293734
stage_Stage X	brown	ENSG00000123329.17	ARHGAP9	0.922797472054358	-0.0745262657293161	-0.073798629325261	0.0145820260293734
age_at_diagnosis	turquoise	ENSG00000129514.5	FOXA1	-0.905437103880613	0.144331182291967	-0.178109133839704	2.9465034271499e-09
age_at_diagnosis	turquoise	ENSG00000115648.13	MLPH	-0.901041076039606	0.162090459039937	-0.178109133839704	2.9465034271499e-09
age_at_diagnosis	turquoise	ENSG00000109436.7	TBC1D9	-0.874932347126015	0.128951007575645	-0.178109133839704	2.9465034271499e-09
age_at_diagnosis	turquoise	ENSG00000091831.22	ESR1	-0.872323758758765	0.245655424726899	-0.178109133839704	2.9465034271499e-09
age_at_diagnosis	turquoise	ENSG00000100219.16	XBP1	-0.864240068869179	0.158666066633084	-0.178109133839704	2.9465034271499e-09
age_at_diagnosis	turquoise	ENSG00000107485.15	GATA3	-0.861130376145533	0.0981441916791612	-0.178109133839704	2.9465034271499e-09
age_at_diagnosis	turquoise	ENSG00000135069.13	PSAT1	0.847821290090972	-0.140945764205857	-0.178109133839704	2.9465034271499e-09
age_at_diagnosis	turquoise	ENSG00000187720.14	THSD4	-0.846556272002597	0.117289613430446	-0.178109133839704	2.9465034271499e-09
age_at_diagnosis	turquoise	ENSG00000053524.12	MCF2L2	0.835109517996655	-0.134494426910757	-0.178109133839704	2.9465034271499e-09
age_at_diagnosis	turquoise	ENSG00000074410.13	CA12	-0.834602574442038	0.110632969916146	-0.178109133839704	2.9465034271499e-09
lib_size	salmon	ENSG00000099624.7	ATP5D	0.883654721855195	0.220478109005633	0.266766070973245	2.6916537929845e-19
lib_size	salmon	ENSG00000142684.8	ZNF593	0.88262389051662	0.256759005876026	0.266766070973245	2.6916537929845e-19
lib_size	salmon	ENSG00000236782.6	RP11-96L14.7	0.88087679266217	0.255663658248367	0.266766070973245	2.6916537929845e-19
lib_size	salmon	ENSG00000099795.6	NDUFB7	0.873077342540914	0.237939395048567	0.266766070973245	2.6916537929845e-19
lib_size	salmon	ENSG00000175756.13	AURKAIP1	0.872123019972567	0.252140373693722	0.266766070973245	2.6916537929845e-19
lib_size	salmon	ENSG00000007080.10	CCDC124	0.868838341831967	0.257825356807955	0.266766070973245	2.6916537929845e-19
lib_size	salmon	ENSG00000037749.11	MFAP3	-0.865625883980877	-0.157856436038513	0.266766070973245	2.6916537929845e-19
lib_size	salmon	ENSG00000179271.2	GADD45GIP1	0.864580590175801	0.218798330971619	0.266766070973245	2.6916537929845e-19
lib_size	salmon	ENSG00000148362.10	C9orf142	0.862346300305373	0.18195045178437	0.266766070973245	2.6916537929845e-19
lib_size	salmon	ENSG00000275740.1	RP11-449H3.3	-0.856608234409727	-0.145296626123494	0.266766070973245	2.6916537929845e-19
